Content	Result
希望你在学校好好吃饭不要勾史	0
煞笔！怎么不找我聊天了是后宫又纳新妃子了吗	1
当然是慕名前来动物园参观传说中的猫孝子与觉醒母主	0
真的好相册	0
浅草寺吧	0
应该改为蔡徐坤的幕购	0
确定不是在开英帕吗	0
麦就要有麦的觉悟	0
因为简笔多	0
有些 人就像洗衣服 一样 一没码 二没叠 三发现衣架都湿完了	0
互联网真好，有利有弊，我利了，哪里有弊	0
你铺的路真平，没有石粒。	0
你跟水一样，开了也是沸物。	1
后面荷塘十朵莲花就剩一朵了，采九朵莲啊。	0
你的qq农场响了，菜4了	0
知道我为什么骑车吗，因为你步行啊。	0
我敲力挖。	0
这大厦避风了。	0
折戟把酒释沙杯。	0
我是农村种地的，你这个咋种。	0
你真是64.5克的黄金，全价4万了。	0
我是股神，这是投注，不仅没跌，还直涨。	0
鼻子里打麻药，鼻痒又没麻。	0
你这个二笔。	1
你这个春竹。	0
中国那么多兵器你不学，非要学剑	0
你是亚里士多德的妹妹，珍妮玛士多吗？	0
马德，谁懂好像骂川普这个B人	1
这么喜欢装X，下辈子当条内裤算了	1
我叫上官南北，你叫司马东西？	0
你是不是毕加索的徒弟啊，画这么多	0
三生三世桃花，没十里啊老弟	0
没嘛总得认一个	0
青梅竹马，别人是青竹，你是梅马	0
你应该在地窖里养点蘑菇，没窖养就算了	1
你药剂吧干啥啊	1
学金融的吧这么省金	0
我是历史学家，这九世纪吧	0
你家住敦煌吗，壁画这么多	0
密码4了	0
当初项羽有你就好了，毕竟有你就是楚胜	0
我是送快递的，这是撕了码的大件货，还没有付清	0
我有夜盲症，害怕老闭灯	0
红豆吃多了，相思啊	0
烧火你用的是什么材？就是柴啊	0
不要碧莲	0
真是九台压路机坏了一台，八个压路	1
搞这种起号的丝全价	1
你跟出省有啥区别？	1
哪来的也中	0
带专姐又出来发声了	0
鉴不鉴啊	0
哪来的傻杯	1
密码的	0
我是化学家，你烷基八氮了	0
你知道披萨倒过来怎么读吗？萨披	0
你这个纱布	1
说什么G8呢	0
彼阳的晚忆，初升的东夕	0
你把油放锅里，看看是油溅还是你溅	1
真是弟弟出门遛弯，步行啊老弟	0
你跟水一样，开了也是沸物	1
知道我为什么骑车吗，因为你步行	0
50块的水瓶我45就买到了，九折水瓶啊老弟	0
你的击靶好小一个	1
准备土豆泥。马克杯。将20克土豆泥放入马克杯中。加入200毫升雪碧并搅拌均匀。放置十分钟后。一杯专为您做的泥马碧就做好了	1
夏朝有个公主叫夏姬，她文采极好擅长写作，一生著作无数，其中有八部小说最广为流传，人们称之为“夏姬八说”	0
煤负沐	0
眉目清	0
你这个没码的东西	1
邮寄吧咋地了	0
真是碧漾的晚意，初生的东夕	0
来，撕了码的大件货	1
给你一个蜡烛五分钟就灭了，蜡急啊	0
新铺的马路就是平，没石粒	0
小沸物上线	1
卧室泥椰椰	0
你是不是美术生啊，画这么多	0
长亭外，古道边，芳草天——不要碧连	0
你真是嬴政回皇宫，皇到家了	1
你真挺能桩的	0
小蜜蜂摸电门，麻了个bee	0
你铁定是风了	0
梅姨个式人啊	1
你还诗人了	0
这种累人生物怎么还能存在	1
我是猴哥，这就石矶	0
麻辣隔壁	0
狗冬西	1
你能不能q4	0
有些人说话不过脑，SB一个	1
你发的每一条动态都像是S13表演秀	0
