Content,Result,Strategy
希望你在学校好好吃饭不要勾史,1,HR
煞笔！怎么不找我聊天了是后宫又纳新妃子了吗,1,HR
当然是慕名前来动物园参观传说中的猫孝子与觉醒母主,0,HR
真的好相册,0,HR
浅草寺吧,0,HR
应该改为蔡徐坤的幕购,0,HR
确定不是在开英帕吗,0,HR
麦就要有麦的觉悟,0,HR
因为简笔多,0,HR
有些 人就像洗衣服 一样 一没码 二没叠 三发现衣架都湿完了,1,HR
互联网真好，有利有弊，我利了，哪里有弊,0,HR
你铺的路真平，没有石粒。,0,HR
你跟水一样，开了也是沸物。,1,HR
后面荷塘十朵莲花就剩一朵了，采九朵莲啊。,0,HR
你的qq农场响了，菜4了,1,NR
知道我为什么骑车吗，因为你步行啊。,0,HR
我敲力挖。,0,HR
这大厦避风了。,0,HR
折戟把酒释沙杯。,0,HR
我是农村种地的，你这个咋种。,0,HR
你真是64.5克的黄金，全价4万了。,0,MR
我是股神，这是投注，不仅没跌，还直涨。,0,HR
鼻子里打麻药，鼻痒又没麻。,0,HR
你这个二笔。,1,HR
你这个春竹。,0,HR
中国那么多兵器你不学，非要学剑,0,HR
你是亚里士多德的妹妹，珍妮玛士多吗？,1,HR
马德，谁懂好像骂川普这个B人,1,AR
这么喜欢装X，下辈子当条内裤算了,1,AR
我叫上官南北，你叫司马东西？,0,HR
你是不是毕加索的徒弟啊，画这么多,0,HR
三生三世桃花，没十里啊老弟,0,HR
没嘛总得认一个,0,HR
青梅竹马，别人是青竹，你是梅马,0,HR
你应该在地窖里养点蘑菇，没窖养就算了,1,HR
你药剂吧干啥啊,0,HR
学金融的吧这么省金,0,HR
我是历史学家，这九世纪吧,0,HR
你家住敦煌吗，壁画这么多,1,HR
密码4了,0,MR
当初项羽有你就好了，毕竟有你就是楚胜,0,HR
我是送快递的，这是撕了码的大件货，还没有付清,0,HR
我有夜盲症，害怕老闭灯,0,HR
红豆吃多了，相思啊,0,HR
烧火你用的是什么材？就是柴啊,0,HR
不要碧莲,0,HR
真是九台压路机坏了一台，八个压路,0,HR
搞这种起号的丝全价,1,HR
你跟出省有啥区别？,1,HR
哪来的也中,0,HR
带专姐又出来发声了,1,HR
鉴不鉴啊,0,HR
哪来的傻杯,1,HR
密码的,0,HR
我是化学家，你烷基八氮了,1,HR
你知道披萨倒过来怎么读吗？萨披,0,HR
你这个纱布,1,HR
说什么G8呢,0,MR
彼阳的晚忆，初升的东夕,0,HR
你把油放锅里，看看是油溅还是你溅,1,HR
真是弟弟出门遛弯，步行啊老弟,0,HR
你跟水一样，开了也是沸物,1,HR
知道我为什么骑车吗，因为你步行,1,HR
50块的水瓶我45就买到了，九折水瓶啊老弟,0,HR
你的击靶好小一个,1,HR
准备土豆泥。马克杯。将20克土豆泥放入马克杯中。加入200毫升雪碧并搅拌均匀。放置十分钟后。一杯专为您做的泥马碧就做好了,1,HR
夏朝有个公主叫夏姬，她文采极好擅长写作，一生著作无数，其中有八部小说最广为流传，人们称之为“夏姬八说”,0,HR
煤负沐,0,HR
眉目清,0,HR
你这个没码的东西,1,HR
邮寄吧咋地了,0,HR
真是碧漾的晚意，初生的东夕,0,HR
来，撕了码的大件货,0,HR
给你一个蜡烛五分钟就灭了，蜡急啊,0,HR
新铺的马路就是平，没石粒,0,HR
小沸物上线,0,HR
卧室泥椰椰,0,HR
你是不是美术生啊，画这么多,0,HR
长亭外，古道边，芳草天——不要碧连,0,HR
你真是嬴政回皇宫，皇到家了,0,HR
你真挺能桩的,1,HR
小蜜蜂摸电门，麻了个bee,1,AR
你铁定是风了,1,HR
梅姨个式人啊,1,HR
你还诗人了,0,HR
这种累人生物怎么还能存在,1,HR
我是猴哥，这就石矶,0,HR
麻辣隔壁,0,HR
狗冬西,1,HR
你能不能q4,1,MR
有些人说话不过脑，SB一个,1,AR
你发的每一条动态都像是S13表演秀,1,MR
肏你麻,1,HR
碧嘴别叫了,1,HR
说得好像你很懂一样，别在这装蒜行不行，真煞笔,1,HR
你和那100度的水一样，纯沸,0,HR
别再自嗨了，看你跳来跳去像个十一样,1,HR
淳到家了,0,HR
说话像芳痞一点逻辑都没有,1,HR
你浮木怎么教的你啊，点脸不要？,1,HR
你这条命摆活了，一点脑子都没有。,1,HR
四麻养出来的钩，讲话都带毒。,1,HR
棍回去添你组中滴谷徽吧。,1,HR
你就是那种最exing的小人，谁都看不起你。,1,AR
别再zhuang了，都知道你那副德行。,1,AR
你m养你的时候脑子进水了b？,1,AR
4了都没人心疼你，别太高估自己。,1,NR
3子真多，你排第几个？,1,NR
真是个5囊废，没你日子更舒服。,1,NR
q家上下就你最me用，还好意思跳出来说话？,1,AR
你浮木真失败，养出你zh么个祸h。,1,AR
棍回你那颇地儿去吧，别在这碍演了。,1,HR
像你这粽人也配发言？可肖。,1,HR
你个sjb别再发d了，真让人tt。,1,AR
4了都没人记得你，浪废氧7。,1,NR
你真是一坨10，不值一提。,1,NR
2h别在这chou了，谁要看你y戏？,1,MR
别整天子以为事，没人真再唬你。,0,HR
你说话前能不能用点恼紫？,1,HR
又在zhuang了，真wy。,1,AR
你恼子是被门甲了吗？,1,HR
看你那副得姓，真饿心。,1,HR
sb天天发这些，没人理你。,1,AR
你4不4个人。,1,NR
别庄了，好额心哦。,1,HR
exs了，看见你就想吐。,1,AR
你这ch真是一言难尽,1,AR
mnz也敢来评论别人的事？,1,AR
bhs话就bz，不然显得你更2。,1,MR
NMSL,1,AR
MLGB,1,AR
QNMD,1,AR
劳资蜀道山，你再哔哔我就动手了。,1,AR
自己几斤几两没点B数？还敢冲劳资吠？,1,MR
yyds？我看你是yyrn，永远惹人烦。,1,AR
天天emo完还来cue别人，nb呢你？,1,AR
你真太6了，6到爆炸,0,NR
你真是个小byd,1,AR
待批，纯是个待批,0,HR
你真是sales我了,0,AR
这铁南通,0,HR
你这个人真的很冒饭,1,HR
这人一看就是被包y的,1,AR
funny mud pee,0,AR
你就tree new bee吧,0,AR
做事情tony带水,0,AR
s南通g啊,0,MR
sbzha男别逼逼，赶紧爬,1,AR
菜b别玩了,1,AR
你就是一坨shi,1,AR
这人真装x,1,AR
低能er一边凉快吧,1,AR
键盘侠你真牛13,0,NR
哭你m哭,1,AR
你几把事真多,1,HR
3d人士就知道yy,0,MR
啥也不知道还在这放p,1,AR
你这是自取其ru,1,AR
没见过世面的人就别bb了,1,AR
要点face吧兄弟,0,AR
你是什么肺5,1,NR
这篇分享写的笱霹不通,1,HR
日泥马的,1,HR
一天天的吃的猪4，不涨脑子,1,NR
好话带话都说了，他这个傻b听球不懂,1,AR
哪来的傻杯,1,HR
你去吃石吧,1,HR
这篇写得真是牛皮哄哄,0,HR
他真是砂雕一个,1,HR
放霹别放霹，扰我清寝,0,HR
别在这吧吧我，你个健人,1,HR
贺知章一样,0,HR
真是瞎吉巴乱说，在这儿带节奏,1,HR
你的避阳吗,0,HR
这场选举就跟洗热票一样，水分都能泡个面吃,0,AR
你这沙笔政客，连基本常识都没刷到脸上,1,HR
别给我放“烦动”烟雾弹，我偏不怕这把火,0,HR
你这“抄你码”作风，真是脑袋进水,1,HR
中国的市场经济，要被这写正客搞成计划经纪了,1,HR
那次闷猪讲座，我听完就想打呼噜,1,HR
美国B-2上演的那场‘二比走位’，到底是在炫技还是秀肌肉？,0,HR
伊朗那句‘打就必喊鸡’，连口号都押韵,0,HR
这波‘洗核裤’打击，真是把伊朗老底都掀了个遍,0,HR
当场就怒骂操 N 妈,1,HR
有些人遇事就去 S,0,AR
别跟我说话G 4 N 妈，我忍够久了,1,MR
woc！老资有钱，别在评论区粑粑,0,MR
谁把nao C塞进你脑子里了,1,AR
中输神经发力了,0,HR
你这个人可以不要虾掰了吗,1,HR
别逼我珊你，XX,1,MR
看的出来你是第一次当银，没什么经验,0,HR
说话这么难听，吃完shi没擦嘴吗,1,AR
你建的不能再建了,0,HR
